date_id,date,day,month,year,weekday
1,2023-01-01,1,1,2023,Sunday
2,2023-01-02,2,1,2023,Monday
3,2023-01-03,3,1,2023,Tuesday
4,2023-01-04,4,1,2023,Wednesday
5,2023-01-05,5,1,2023,Thursday
6,2023-01-06,6,1,2023,Friday
7,2023-01-07,7,1,2023,Saturday
8,2023-01-08,8,1,2023,Sunday
9,2023-01-09,9,1,2023,Monday
10,2023-01-10,10,1,2023,Tuesday
11,2023-01-11,11,1,2023,Wednesday
12,2023-01-12,12,1,2023,Thursday
13,2023-01-13,13,1,2023,Friday
14,2023-01-14,14,1,2023,Saturday
15,2023-01-15,15,1,2023,Sunday
16,2023-01-16,16,1,2023,Monday
17,2023-01-17,17,1,2023,Tuesday
18,2023-01-18,18,1,2023,Wednesday
19,2023-01-19,19,1,2023,Thursday
20,2023-01-20,20,1,2023,Friday
21,2023-01-21,21,1,2023,Saturday
22,2023-01-22,22,1,2023,Sunday
23,2023-01-23,23,1,2023,Monday
24,2023-01-24,24,1,2023,Tuesday
25,2023-01-25,25,1,2023,Wednesday
26,2023-01-26,26,1,2023,Thursday
27,2023-01-27,27,1,2023,Friday
28,2023-01-28,28,1,2023,Saturday
29,2023-01-29,29,1,2023,Sunday
30,2023-01-30,30,1,2023,Monday
31,2023-01-31,31,1,2023,Tuesday
32,2023-02-01,1,2,2023,Wednesday
33,2023-02-02,2,2,2023,Thursday
34,2023-02-03,3,2,2023,Friday
35,2023-02-04,4,2,2023,Saturday
36,2023-02-05,5,2,2023,Sunday
37,2023-02-06,6,2,2023,Monday
38,2023-02-07,7,2,2023,Tuesday
39,2023-02-08,8,2,2023,Wednesday
40,2023-02-09,9,2,2023,Thursday
41,2023-02-10,10,2,2023,Friday
42,2023-02-11,11,2,2023,Saturday
43,2023-02-12,12,2,2023,Sunday
44,2023-02-13,13,2,2023,Monday
45,2023-02-14,14,2,2023,Tuesday
46,2023-02-15,15,2,2023,Wednesday
47,2023-02-16,16,2,2023,Thursday
48,2023-02-17,17,2,2023,Friday
49,2023-02-18,18,2,2023,Saturday
50,2023-02-19,19,2,2023,Sunday
51,2023-02-20,20,2,2023,Monday
52,2023-02-21,21,2,2023,Tuesday
53,2023-02-22,22,2,2023,Wednesday
54,2023-02-23,23,2,2023,Thursday
55,2023-02-24,24,2,2023,Friday
56,2023-02-25,25,2,2023,Saturday
57,2023-02-26,26,2,2023,Sunday
58,2023-02-27,27,2,2023,Monday
59,2023-02-28,28,2,2023,Tuesday
60,2023-03-01,1,3,2023,Wednesday
61,2023-03-02,2,3,2023,Thursday
62,2023-03-03,3,3,2023,Friday
63,2023-03-04,4,3,2023,Saturday
64,2023-03-05,5,3,2023,Sunday
65,2023-03-06,6,3,2023,Monday
66,2023-03-07,7,3,2023,Tuesday
67,2023-03-08,8,3,2023,Wednesday
68,2023-03-09,9,3,2023,Thursday
69,2023-03-10,10,3,2023,Friday
70,2023-03-11,11,3,2023,Saturday
71,2023-03-12,12,3,2023,Sunday
72,2023-03-13,13,3,2023,Monday
73,2023-03-14,14,3,2023,Tuesday
74,2023-03-15,15,3,2023,Wednesday
75,2023-03-16,16,3,2023,Thursday
76,2023-03-17,17,3,2023,Friday
77,2023-03-18,18,3,2023,Saturday
78,2023-03-19,19,3,2023,Sunday
79,2023-03-20,20,3,2023,Monday
80,2023-03-21,21,3,2023,Tuesday
81,2023-03-22,22,3,2023,Wednesday
82,2023-03-23,23,3,2023,Thursday
83,2023-03-24,24,3,2023,Friday
84,2023-03-25,25,3,2023,Saturday
85,2023-03-26,26,3,2023,Sunday
86,2023-03-27,27,3,2023,Monday
87,2023-03-28,28,3,2023,Tuesday
88,2023-03-29,29,3,2023,Wednesday
89,2023-03-30,30,3,2023,Thursday
90,2023-03-31,31,3,2023,Friday
91,2023-04-01,1,4,2023,Saturday
92,2023-04-02,2,4,2023,Sunday
93,2023-04-03,3,4,2023,Monday
94,2023-04-04,4,4,2023,Tuesday
95,2023-04-05,5,4,2023,Wednesday
96,2023-04-06,6,4,2023,Thursday
97,2023-04-07,7,4,2023,Friday
98,2023-04-08,8,4,2023,Saturday
99,2023-04-09,9,4,2023,Sunday
100,2023-04-10,10,4,2023,Monday
101,2023-04-11,11,4,2023,Tuesday
102,2023-04-12,12,4,2023,Wednesday
103,2023-04-13,13,4,2023,Thursday
104,2023-04-14,14,4,2023,Friday
105,2023-04-15,15,4,2023,Saturday
106,2023-04-16,16,4,2023,Sunday
107,2023-04-17,17,4,2023,Monday
108,2023-04-18,18,4,2023,Tuesday
109,2023-04-19,19,4,2023,Wednesday
110,2023-04-20,20,4,2023,Thursday
111,2023-04-21,21,4,2023,Friday
112,2023-04-22,22,4,2023,Saturday
113,2023-04-23,23,4,2023,Sunday
114,2023-04-24,24,4,2023,Monday
115,2023-04-25,25,4,2023,Tuesday
116,2023-04-26,26,4,2023,Wednesday
117,2023-04-27,27,4,2023,Thursday
118,2023-04-28,28,4,2023,Friday
119,2023-04-29,29,4,2023,Saturday
120,2023-04-30,30,4,2023,Sunday
121,2023-05-01,1,5,2023,Monday
122,2023-05-02,2,5,2023,Tuesday
123,2023-05-03,3,5,2023,Wednesday
124,2023-05-04,4,5,2023,Thursday
125,2023-05-05,5,5,2023,Friday
126,2023-05-06,6,5,2023,Saturday
127,2023-05-07,7,5,2023,Sunday
128,2023-05-08,8,5,2023,Monday
129,2023-05-09,9,5,2023,Tuesday
130,2023-05-10,10,5,2023,Wednesday
131,2023-05-11,11,5,2023,Thursday
132,2023-05-12,12,5,2023,Friday
133,2023-05-13,13,5,2023,Saturday
134,2023-05-14,14,5,2023,Sunday
135,2023-05-15,15,5,2023,Monday
136,2023-05-16,16,5,2023,Tuesday
137,2023-05-17,17,5,2023,Wednesday
138,2023-05-18,18,5,2023,Thursday
139,2023-05-19,19,5,2023,Friday
140,2023-05-20,20,5,2023,Saturday
141,2023-05-21,21,5,2023,Sunday
142,2023-05-22,22,5,2023,Monday
143,2023-05-23,23,5,2023,Tuesday
144,2023-05-24,24,5,2023,Wednesday
145,2023-05-25,25,5,2023,Thursday
146,2023-05-26,26,5,2023,Friday
147,2023-05-27,27,5,2023,Saturday
148,2023-05-28,28,5,2023,Sunday
149,2023-05-29,29,5,2023,Monday
150,2023-05-30,30,5,2023,Tuesday
151,2023-05-31,31,5,2023,Wednesday
152,2023-06-01,1,6,2023,Thursday
153,2023-06-02,2,6,2023,Friday
154,2023-06-03,3,6,2023,Saturday
155,2023-06-04,4,6,2023,Sunday
156,2023-06-05,5,6,2023,Monday
157,2023-06-06,6,6,2023,Tuesday
158,2023-06-07,7,6,2023,Wednesday
159,2023-06-08,8,6,2023,Thursday
160,2023-06-09,9,6,2023,Friday
161,2023-06-10,10,6,2023,Saturday
162,2023-06-11,11,6,2023,Sunday
163,2023-06-12,12,6,2023,Monday
164,2023-06-13,13,6,2023,Tuesday
165,2023-06-14,14,6,2023,Wednesday
166,2023-06-15,15,6,2023,Thursday
167,2023-06-16,16,6,2023,Friday
168,2023-06-17,17,6,2023,Saturday
169,2023-06-18,18,6,2023,Sunday
170,2023-06-19,19,6,2023,Monday
171,2023-06-20,20,6,2023,Tuesday
172,2023-06-21,21,6,2023,Wednesday
173,2023-06-22,22,6,2023,Thursday
174,2023-06-23,23,6,2023,Friday
175,2023-06-24,24,6,2023,Saturday
176,2023-06-25,25,6,2023,Sunday
177,2023-06-26,26,6,2023,Monday
178,2023-06-27,27,6,2023,Tuesday
179,2023-06-28,28,6,2023,Wednesday
180,2023-06-29,29,6,2023,Thursday
181,2023-06-30,30,6,2023,Friday
182,2023-07-01,1,7,2023,Saturday
183,2023-07-02,2,7,2023,Sunday
184,2023-07-03,3,7,2023,Monday
185,2023-07-04,4,7,2023,Tuesday
186,2023-07-05,5,7,2023,Wednesday
187,2023-07-06,6,7,2023,Thursday
188,2023-07-07,7,7,2023,Friday
189,2023-07-08,8,7,2023,Saturday
190,2023-07-09,9,7,2023,Sunday
191,2023-07-10,10,7,2023,Monday
192,2023-07-11,11,7,2023,Tuesday
193,2023-07-12,12,7,2023,Wednesday
194,2023-07-13,13,7,2023,Thursday
195,2023-07-14,14,7,2023,Friday
196,2023-07-15,15,7,2023,Saturday
197,2023-07-16,16,7,2023,Sunday
198,2023-07-17,17,7,2023,Monday
199,2023-07-18,18,7,2023,Tuesday
200,2023-07-19,19,7,2023,Wednesday
201,2023-07-20,20,7,2023,Thursday
202,2023-07-21,21,7,2023,Friday
203,2023-07-22,22,7,2023,Saturday
204,2023-07-23,23,7,2023,Sunday
205,2023-07-24,24,7,2023,Monday
206,2023-07-25,25,7,2023,Tuesday
207,2023-07-26,26,7,2023,Wednesday
208,2023-07-27,27,7,2023,Thursday
209,2023-07-28,28,7,2023,Friday
210,2023-07-29,29,7,2023,Saturday
211,2023-07-30,30,7,2023,Sunday
212,2023-07-31,31,7,2023,Monday
213,2023-08-01,1,8,2023,Tuesday
214,2023-08-02,2,8,2023,Wednesday
215,2023-08-03,3,8,2023,Thursday
216,2023-08-04,4,8,2023,Friday
217,2023-08-05,5,8,2023,Saturday
218,2023-08-06,6,8,2023,Sunday
219,2023-08-07,7,8,2023,Monday
220,2023-08-08,8,8,2023,Tuesday
221,2023-08-09,9,8,2023,Wednesday
222,2023-08-10,10,8,2023,Thursday
223,2023-08-11,11,8,2023,Friday
224,2023-08-12,12,8,2023,Saturday
225,2023-08-13,13,8,2023,Sunday
226,2023-08-14,14,8,2023,Monday
227,2023-08-15,15,8,2023,Tuesday
228,2023-08-16,16,8,2023,Wednesday
229,2023-08-17,17,8,2023,Thursday
230,2023-08-18,18,8,2023,Friday
231,2023-08-19,19,8,2023,Saturday
232,2023-08-20,20,8,2023,Sunday
233,2023-08-21,21,8,2023,Monday
234,2023-08-22,22,8,2023,Tuesday
235,2023-08-23,23,8,2023,Wednesday
236,2023-08-24,24,8,2023,Thursday
237,2023-08-25,25,8,2023,Friday
238,2023-08-26,26,8,2023,Saturday
239,2023-08-27,27,8,2023,Sunday
240,2023-08-28,28,8,2023,Monday
241,2023-08-29,29,8,2023,Tuesday
242,2023-08-30,30,8,2023,Wednesday
243,2023-08-31,31,8,2023,Thursday
244,2023-09-01,1,9,2023,Friday
245,2023-09-02,2,9,2023,Saturday
246,2023-09-03,3,9,2023,Sunday
247,2023-09-04,4,9,2023,Monday
248,2023-09-05,5,9,2023,Tuesday
249,2023-09-06,6,9,2023,Wednesday
250,2023-09-07,7,9,2023,Thursday
251,2023-09-08,8,9,2023,Friday
252,2023-09-09,9,9,2023,Saturday
253,2023-09-10,10,9,2023,Sunday
254,2023-09-11,11,9,2023,Monday
255,2023-09-12,12,9,2023,Tuesday
256,2023-09-13,13,9,2023,Wednesday
257,2023-09-14,14,9,2023,Thursday
258,2023-09-15,15,9,2023,Friday
259,2023-09-16,16,9,2023,Saturday
260,2023-09-17,17,9,2023,Sunday
261,2023-09-18,18,9,2023,Monday
262,2023-09-19,19,9,2023,Tuesday
263,2023-09-20,20,9,2023,Wednesday
264,2023-09-21,21,9,2023,Thursday
265,2023-09-22,22,9,2023,Friday
266,2023-09-23,23,9,2023,Saturday
267,2023-09-24,24,9,2023,Sunday
268,2023-09-25,25,9,2023,Monday
269,2023-09-26,26,9,2023,Tuesday
270,2023-09-27,27,9,2023,Wednesday
271,2023-09-28,28,9,2023,Thursday
272,2023-09-29,29,9,2023,Friday
273,2023-09-30,30,9,2023,Saturday
274,2023-10-01,1,10,2023,Sunday
275,2023-10-02,2,10,2023,Monday
276,2023-10-03,3,10,2023,Tuesday
277,2023-10-04,4,10,2023,Wednesday
278,2023-10-05,5,10,2023,Thursday
279,2023-10-06,6,10,2023,Friday
280,2023-10-07,7,10,2023,Saturday
281,2023-10-08,8,10,2023,Sunday
282,2023-10-09,9,10,2023,Monday
283,2023-10-10,10,10,2023,Tuesday
284,2023-10-11,11,10,2023,Wednesday
285,2023-10-12,12,10,2023,Thursday
286,2023-10-13,13,10,2023,Friday
287,2023-10-14,14,10,2023,Saturday
288,2023-10-15,15,10,2023,Sunday
289,2023-10-16,16,10,2023,Monday
290,2023-10-17,17,10,2023,Tuesday
291,2023-10-18,18,10,2023,Wednesday
292,2023-10-19,19,10,2023,Thursday
293,2023-10-20,20,10,2023,Friday
294,2023-10-21,21,10,2023,Saturday
295,2023-10-22,22,10,2023,Sunday
296,2023-10-23,23,10,2023,Monday
297,2023-10-24,24,10,2023,Tuesday
298,2023-10-25,25,10,2023,Wednesday
299,2023-10-26,26,10,2023,Thursday
300,2023-10-27,27,10,2023,Friday
301,2023-10-28,28,10,2023,Saturday
302,2023-10-29,29,10,2023,Sunday
303,2023-10-30,30,10,2023,Monday
304,2023-10-31,31,10,2023,Tuesday
305,2023-11-01,1,11,2023,Wednesday
306,2023-11-02,2,11,2023,Thursday
307,2023-11-03,3,11,2023,Friday
308,2023-11-04,4,11,2023,Saturday
309,2023-11-05,5,11,2023,Sunday
310,2023-11-06,6,11,2023,Monday
311,2023-11-07,7,11,2023,Tuesday
312,2023-11-08,8,11,2023,Wednesday
313,2023-11-09,9,11,2023,Thursday
314,2023-11-10,10,11,2023,Friday
315,2023-11-11,11,11,2023,Saturday
316,2023-11-12,12,11,2023,Sunday
317,2023-11-13,13,11,2023,Monday
318,2023-11-14,14,11,2023,Tuesday
319,2023-11-15,15,11,2023,Wednesday
320,2023-11-16,16,11,2023,Thursday
321,2023-11-17,17,11,2023,Friday
322,2023-11-18,18,11,2023,Saturday
323,2023-11-19,19,11,2023,Sunday
324,2023-11-20,20,11,2023,Monday
325,2023-11-21,21,11,2023,Tuesday
326,2023-11-22,22,11,2023,Wednesday
327,2023-11-23,23,11,2023,Thursday
328,2023-11-24,24,11,2023,Friday
329,2023-11-25,25,11,2023,Saturday
330,2023-11-26,26,11,2023,Sunday
331,2023-11-27,27,11,2023,Monday
332,2023-11-28,28,11,2023,Tuesday
333,2023-11-29,29,11,2023,Wednesday
334,2023-11-30,30,11,2023,Thursday
335,2023-12-01,1,12,2023,Friday
336,2023-12-02,2,12,2023,Saturday
337,2023-12-03,3,12,2023,Sunday
338,2023-12-04,4,12,2023,Monday
339,2023-12-05,5,12,2023,Tuesday
340,2023-12-06,6,12,2023,Wednesday
341,2023-12-07,7,12,2023,Thursday
342,2023-12-08,8,12,2023,Friday
343,2023-12-09,9,12,2023,Saturday
344,2023-12-10,10,12,2023,Sunday
345,2023-12-11,11,12,2023,Monday
346,2023-12-12,12,12,2023,Tuesday
347,2023-12-13,13,12,2023,Wednesday
348,2023-12-14,14,12,2023,Thursday
349,2023-12-15,15,12,2023,Friday
350,2023-12-16,16,12,2023,Saturday
351,2023-12-17,17,12,2023,Sunday
352,2023-12-18,18,12,2023,Monday
353,2023-12-19,19,12,2023,Tuesday
354,2023-12-20,20,12,2023,Wednesday
355,2023-12-21,21,12,2023,Thursday
356,2023-12-22,22,12,2023,Friday
357,2023-12-23,23,12,2023,Saturday
358,2023-12-24,24,12,2023,Sunday
359,2023-12-25,25,12,2023,Monday
360,2023-12-26,26,12,2023,Tuesday
361,2023-12-27,27,12,2023,Wednesday
362,2023-12-28,28,12,2023,Thursday
363,2023-12-29,29,12,2023,Friday
364,2023-12-30,30,12,2023,Saturday
365,2023-12-31,31,12,2023,Sunday
